missing-title.yaml	yaml-schema	3	5	false
unknown-field.yaml	yaml-schema	6	5	false
duplicate-key.yaml	yaml-duplicate-key	6	5	none
numeric-id.yaml	yaml-schema	3	9	false
plain-hash.yaml	yaml-scalar-style	4	12	true
dangling-reference.yaml	dangling-reference	6	18	true
unknown-version.yaml	yaml-version	1	9	false
null-title.yaml	yaml-schema	4	12	false
empty-title.yaml	yaml-schema	4	12	false
empty-relationships.yaml	yaml-schema	6	17	false
bad-id.yaml	invalid-id	3	9	false
unknown-block.yaml	yaml-schema	5	18	false
invalid-math-language.yaml	yaml-schema	5	35	false
empty-math.yaml	yaml-schema	5	53	false
paragraph-newline.yaml	yaml-character	5	16	false
boundary-space.yaml	yaml-scalar-boundary	4	12	true
escaped-tab.yaml	yaml-character	4	12	true
unicode-column.yaml	yaml-schema	3	27	false
